region,seats,ODS,SSD,STA,KSC,ZEL,SVO,PTI,TOP,ANO,KDU,SPD,OTH
NAT,200,11.32,7.27,5.18,7.76,1.46,1.56,10.79,5.31,29.64,5.8,10.64,3.27
PRA,24,16.22,5.57,5.05,4.6,2.4,2.1,17.59,12.64,20.35,4.76,5.81,2.9
CBH,26,12.93,6.63,8.07,7.21,1.42,1.61,12.08,6.33,28.66,3.01,9.0,3.04
SBH,13,12.12,7.3,4.57,9.32,1.37,1.68,10.51,5.3,28.86,5.38,9.85,3.74
PLZ,11,12.09,7.97,4.85,8.65,1.22,1.52,10.01,4.82,30.98,3.49,10.56,3.84
KVA,5,8.83,6.98,5.28,8.15,1.26,1.26,10.04,3.68,35.42,2.36,12.47,4.26
UST,13,9.47,6.61,3.62,9.89,1.47,1.35,8.24,3.63,37.55,1.8,12.59,3.78
LIB,8,10.28,5.65,12.82,6.69,1.39,1.5,11.42,4.22,29.83,2.05,10.95,3.2
HRK,11,11.56,6.5,5.08,7.1,1.3,1.54,10.73,5.13,31.77,5.84,10.05,3.4
PAR,10,10.96,7.47,4.97,7.74,1.26,1.54,10.51,4.2,30.81,6.81,10.14,3.58
VYS,10,9.89,9.37,4.28,9.44,1.21,1.35,9.92,3.86,28.63,9.24,9.6,3.21
SMR,23,11.88,8.44,3.63,8.04,1.56,1.78,9.11,4.51,27.4,8.97,11.65,3.03
OLO,12,8.92,7.44,4.44,8.78,1.17,1.29,8.49,3.24,31.39,8.26,13.54,3.03
ZLI,12,9.75,6.94,5.82,7.01,1.25,1.63,8.43,2.86,28.76,11.41,12.9,3.23
M-S,22,7.47,8.83,2.64,8.69,1.2,1.07,8.64,2.58,35.42,6.45,13.87,3.13
