ID,Country,City,Phase,Line,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Source2,Reference
7136,CA,Vancouver,,Broadway,2020,2025,0,5.7,87.72%,5,0.295,0.446,6,,Plan,"2,830",CAD,2018,0.84,2377.2,417.1,0,0,0,1,Media,https://www.translink.ca/Plans-and-Projects/Rapid-Transit-Projects/Broadway-Subway-Project.aspx
7137,CA,Toronto,,Vaughan,2009,2017,0,8.6,100.00%,8.6,0,0,6,,Media,"3,200",CAD,2013,0.81,2592,301.4,0,0,0,1,Media,https://www.thestar.com/news/gta/transportation/2017/12/15/trudeau-wynne-tory-on-hand-to-cut-ribbon-on-32-billion-subway-extension.html
7138,CA,Toronto,,Scarborough,2020,2030,0,7.8,100.00%,7.8,0,0,3,,Wiki,"5,500",CAD,2018,0.84,4620,592.3,0,0,0,1,Media,https://urbantoronto.ca/news/2020/03/metrolinxs-preliminary-business-case-scarborough-subway-extension-raises-questions
7139,CA,Toronto,,Ontario,2020,2030,0,15.5,57.00%,8.8,5.76,1.06,15,,Plan,"8,573",CAD,2019,0.84,7201.32,464.6,0,0,0,1,Plan,https://metrolinx.files.wordpress.com/2019/07/click-here-to-view-the-ontario-line-initial-business-case.pdf
7144,CA,Toronto,,Yonge to Richmond Hill,2020,2030,0,7.4,100.00%,7.4,0,0,6,,Plan,"5,600",CAD,2020,0.84,4704,635.7,0,0,0,1,Media,https://www.thestar.com/news/gta/2020/06/24/metrolinx-considering-a-route-for-the-yonge-subway-extension-to-richmond-hill-that-would-take-it-above-ground.html
7145,NL,Amsterdam,,North-South,2003,2018,0,9.7,73.00%,7.1,0,0,8,,Wiki,"3,100",EUR,2009,1.3,4030,415.5,0,0,0,0,Media,https://www.at5.nl/artikelen/184604/zaterdag-noordzuidlijn-eindelijk-open-de-opvallendste-feiten
7146,CA,Montreal,,Blue Line extension,2020,2026,0,5.8,100.00%,5.8,0,0,5,,Media,"4,500",CAD,2018,0.84,3780,651.7,0,0,0,1,Media,https://montrealgazette.com/news/local-news/montreal-metro-green-light-for-blue-line-extension
7147,US,Seattle,,U-Link,2009,2016,0,5.1,100.00%,5.1,0,0,2,,Media,"1,756",USD,2012,1,1756,344.3,0,0,0,1,Plan,https://www.soundtransit.org/sites/default/files/documents/2018-q3-link-light-rail_0.pdf
7152,US,Los Angeles,Purple Line,Purple Phase 3,2020,2027,0,4.2,100.00%,4.2,0,0,2,,Media,"3,600",USD,2023,1,3600,857.1,0,0,0,1,Media,https://la.streetsblog.org/2020/03/24/metro-signs-1-3-billion-full-funding-grant-agreement-for-westside-subway-phase-3/
7153,US,Los Angeles,Purple Line,Purple Phase 2,2018,2026,0,4.2,100.00%,4.2,0,0,2,,Trade,"2,400",USD,2021,1,2400,571.4,0,0,0,1,Trade,https://www.railjournal.com/in_depth/transit-projects-fly-in-the-city-of-angels
7154,US,Los Angeles,Purple Line,Purple Phase 1,2014,2024,0,6.3,100.00%,6.3,0,0,3,,Media,"2,800",USD,2018,1,2800,444.4,0,0,0,1,Media,https://la.streetsblog.org/2018/04/25/metro-celebrates-purple-line-extension-1-tunnel-machines-set-to-start-in-august/
7155,US,Los Angeles,,Regional Connector,2014,2022,0,3.1,100.00%,3.1,0,0,3,,Plan,"1,756",USD,2018,1,1756,566.5,0,0,0,1,Plan,https://www.metro.net/projects/connector/
7160,US,San Francisco,,Central Subway,2010,2021,0,2.7,100.00%,2.7,0,0,4,,Media,"1,670",USD,2014,1,1670,618.5,0,0,0,1,Media,https://www.sfchronicle.com/bayarea/article/Central-Subway-tab-likely-to-grow-by-55M-as-14447857.php
7161,US,Boston,,Green Line Extension,2013,2021,0,7.6,0.00%,0,0.78,6.82,7,,Plan,"2,289",USD,2020,1,2289,301.2,0,0,0,1,Plan,https://www.ctps.org/data/pdf/plans/TIP/FFYs-2020-2024-Final-TIP-20190730.pdf
7162,CA,Ottawa,,Confederation,2013,2019,0,12.5,20.00%,2.5,0.84,9.16,13,,Trade,"2,100",CAD,2016,0.83,1743,139.4,0,0,0,1,Trade,https://www.aecom.com/projects/ottawa-light-rail/
7163,US,San Francisco,,BART to San Jose,2022,2030,0,9.6,83.00%,8,0,0,4,,Plan,"9,100",USD,2026,1,9100,947.9,0,0,0,1,Media,https://www.mercurynews.com/2021/10/25/federal-government-awards-2-3-billion-for-barts-san-jose-extension/
7168,BG,Sofia,Line 1,Line 1 northern,2009,2012,0,5.1,60.00%,3.1,0,0,4,,Measured,407,BGN,2010,1.69,687.83,134.9,1,5.1,3.1,0,Media,https://www.novinite.com/articles/167648/Subway+Trains+to+Sofia+Airport+Start+Running+at+1+pm+on+April+2
7169,BG,Sofia,Line 1,Line 1 southern,2013,2015,0,3,100.00%,3,0,0,3,,Media,44,EUR,2014,3.32,146.08,48.7,1,3,3,0,Media,https://www.novinite.com/articles/168384/Subway+Extension+to+Business+Park+Sofia+Opens
7170,BG,Sofia,Line 2,Line 2,2008,2012,0,17,90.00%,15.3,0,0,11,,Trade,952,EUR,2010,3.32,3160.64,185.9,1,17,15.3,0,Trade,https://www.railway-technology.com/uncategorised/newsbulgaria-opens-sofia-metro-line-2/
7171,BG,Sofia,Line 2,Line 2 extension,2012,2016,0,1.3,100.00%,1.3,0,0,1,,Media,21,EUR,2014,3.32,69.72,53.6,1,1.3,1.3,0,Media,https://seenews.com/news/sofia-subway-launches-13-km-section-with-one-station-533330
7176,BG,Sofia,Line 3,Line 3,2016,2021,0,12,100.00%,12,0,0,12,,Plan,500,EUR,2018,3.32,1660,138.3,1,12,12,0,Plan,https://europa.eu/investeu/projects/sofia-metro-line-3_en
7177,BG,Sofia,Line 3,Line 3 extension (Third Stage),2021,,0,3.1,100.00%,3.1,0,0,4,,Plan,113,EUR,2021,3.32,373.5,120.5,1,3.1,3.1,0,Trade,https://seenews.com/news/sofia-opens-1125-mln-euro-tender-for-subway-expansion-681553
7178,PL,Warsaw,Line 2,Line 2,2010,2015,0,6.5,1,6.5,0,0,7,,Trade,5900,PLN,2012,0.557,3286.3,505.6,0,0,0,0,Trade,https://www.railwaygazette.com/news/single-view/view/warszawa-opens-second-metro-line.html
7179,PL,Warsaw,Line 2,Line 2 extension to Trocka,2015,2019,0,3.1,100.00%,3.1,0,0,3,,Trade,"1,070",PLN,2017,0.576,616.32,198.8,0,0,0,0,Trade,https://www.railjournal.com/passenger/metros/warsaw-metro-line-m2-reaches-targowek/
7184,PL,Warsaw,Line 2,Line 2 extension to KJ,2015,2020,0,3.4,100.00%,3.4,0,0,3,,Trade,"1,148",PLN,2017,0.576,661.248,194.5,0,0,0,0,Trade,https://www.railwaygazette.com/metros/warszawa-metro-line-m2-goes-west/56191.article
7185,PL,Warsaw,Line 2,Line 2 extension to Bródno,2018,2022,0,4,100.00%,4,0,0,3,,Trade,"1,400",PLN,2020,0.571,799.4,199.9,0,0,0,0,Trade,https://www.railwaypro.com/wp/a-single-bidder-for-warsaw-metro-line-2-extension/
7186,RO,Bucharest,,Line 5,2014,2019,0,6.9,100.00%,6.9,0,0,10,,Plan,"3,122",RON,2016,0.596,1860.712,269.7,0,0,0,0,Plan,http://www.metrorex.ro/Resurse/RaportActivitate/Metrorex%20eng%202018.pdf
7187,RU,Moscow,,Line 11,2017,2023,0,66.7,100.00%,66.7,0,0,31,,Media,"501,000",RUB,2018,0.04,20040,300.4,0,0,0,0,Media,https://www.rbc.ru/politics/23/11/2017/5a16bd6a9a7947a6f487fe13
7193,RU,Nizhniy Novgorod,,Line 2 extension,2015,2018,0,2.5,100.00%,2.5,0,0,1,,Trade,"11,000",RUB,2016,0.041,451,180.4,0,0,0,0,Trade,https://www.metro-report.com/analysis/single-news/view/the-winners-and-losers-of-russian-metros.html
7194,RU,Saint Petersburg,,Line 3 extension,2014,2018,0,5,100.00%,5,0,0,2,,Trade,"37,000",RUB,2016,0.041,1517,303.4,0,0,0,0,Trade,https://www.metro-report.com/analysis/single-news/view/the-winners-and-losers-of-russian-metros.html
7195,RU,Saint Petersburg,,Line 5 extension,2013,2019,0,6.4,97.00%,6.2,0,0,3,,Measured,"44,600",RUB,2016,0.041,1828.6,285.7,0,0,0,0,Media,http://krti.gov.spb.ru/press/news/52016/?category=17
7200,RU,Moscow,,Line 1 extension,2016,2019,0,11.6,14.00%,1.6,0.14,9.836,4,,Wiki,"41,033",RUB,2018,0.04,1641.31476,141.5,0,0,0,0,Plan,https://zakupki.gov.ru/epz/order/notice/oku44/view/supplier-results.html?regNumber=0173200001418000217
7201,CZ,Prague,,Line A extension,2010,2015,0,6.1,97.00%,5.9,0,0.2,4,,Wiki,"20,200",CZK,2012,0.0752,1519.04,249.0,0,0,0,0,Trade,https://www.railjournal.com/passenger/metros/prague-opens-metro-line-a-western-extension/
7202,HU,Budapest,,Line 4,2006,2014,0,7.4,100.00%,7.4,0,0,10,,Trade,"452,000",HUF,2010,0.00792,3579.84,483.8,0,0,0,0,Plan,https://www.europarl.europa.eu/doceo/document//P-8-2017-000299_EN.html
7203,FR,Toulouse,,Line 3,2021,2025,0,27,60.00%,16.2,0,0,21,,Plan,"2,670",EUR,2016,1.3,3471,128.6,0,0,0,0,Plan,https://www.toulousemetro3.fr/le-projet/3eme-ligne.html
7208,IT,Turin,Line 1,Line 1 phases 1-3,2000,2011,0,13.2,100.00%,13.2,0,0,21,,Wiki,"1,046",EUR,2005,1.25,1307.625,99.1,1,13.2,13.2,0,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86
7209,IT,Turin,Line 1,Line 1 south (phase 4),2012,2021,0,1.9,100.00%,1.9,0,0,2,,Trade,194,EUR,2016,1.3,251.55,132.4,1,1.9,1.9,0,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86
7210,IT,Turin,Line 1,Line 1 west (phase 5),2018,2024,0,3.4,100.00%,3.4,0,0,4,,Media,304,EUR,2020,1.3,395.59,116.4,1,3.4,3.4,0,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86
7211,FI,Helsinki,,West Metro,2009,2017,0,13.5,100.00%,13.5,0,0,8,,Measured,"1,186",EUR,2013,1.3,1541.8,114.2,1,13.5,13.5,0,Plan,https://www.lansimetro.fi/en/information-on-the-project/costs/
7216,FI,Helsinki,,Ring Rail Line,2009,2015,1,18,44.00%,8,0,0,5,,Plan,774,EUR,2012,1.3,1005.94,55.9,1,18,8,0,Plan,https://vayla.fi/web/en/projects/all-projects/ring-rail-line
7217,SE,Stockholm,,Arenastaden,2020,2030,0,4.1,100.00%,4.1,0,0,2,140,Plan,"4,700",SEK,2025,0.115,540.5,131.8,1,4.1,4.1,0,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf
7218,SE,Stockholm,,Nacka/Söderort,2020,2030,0,11.5,100.00%,11.5,0,0,6,140,Plan,"14,400",SEK,2025,0.115,1656,144.0,1,11.5,11.5,0,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf
7219,SE,Stockholm,,Barkarby,2020,2026,0,3.3,100.00%,3.3,0,0,2,140,Plan,"3,300",SEK,2023,0.115,379.5,115.0,1,3.3,3.3,0,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf
7224,SE,Stockholm,,Citybanan,2007,2017,1,7.4,81.00%,6,0,0,2,200,Plan,"16,800",SEK,2007,0.1125,1890,255.4,1,7.4,6,0,Plan,https://web.archive.org/web/20150402164159/http://www.trafikverket.se/en/startpage/Projects/Railway-construction-projects1/The-Stockholm-City-Line/
